Item Code,Description / Inventory Details,Company,Customer,LOT,Lot Number,NEXT RENEWAL,HOLDS,INVT ATTR,QTY BKD,On Hand:Qty,,Available:Qty,,On Order:Qty,,On Receipt:Qty,,On Non-Shippable Hold:Qty,,In Transit:Qty,,On Shippable Hold:Qty,,On Hand:Gross Wgt by LBS,Available:Gross Wgt by LBS,On Order:Gross Wgt by LBS,On Receipt:Gross Wgt by LBS,On Non-Shippable Hold:Gross Wgt by LBS,In Transit:Gross Wgt by LBS,On Shippable Hold:Gross Wgt by LBS,On Hand:Net Wgt by LBS,Available:Net Wgt by LBS,On Order:Net Wgt by LBS,On Receipt:Net Wgt by LBS,On Non-Shippable Hold:Net Wgt by LBS,In Transit:Net Wgt by LBS,On Shippable Hold:Net Wgt by LBS,On Non-Shippable Hold:HOLDS,On Shippable Hold:HOLDS
32408,SEAFARER FLAKE 6/5LBS,W2,LMFOO,22723,SEAFARER BRAND (USA),multiple,,,"CS, PLT=63CS",126,CS,126,CS,0,CS,0,CS,0,CS,0,CS,0,CS,3969,3969,0,0,0,0,0,3780,3780,0,0,0,0,0,,
32408,SEAFARER FLAKE 6/5LBS,W2,LMFOO,31223E,SEAFARER BRAND (USA),multiple,,,"CS, PLT=63CS",16,CS,16,CS,0,CS,0,CS,0,CS,0,CS,0,CS,504,504,0,0,0,0,0,480,480,0,0,0,0,0,,
32409,EMERALD SEA FLAKE (12/2.5LB),W2,LMFOO,1824,EMERALD SEA BRAND (USA),multiple,,,"CS, PLT=65CS",65,CS,65,CS,0,CS,0,CS,0,CS,0,CS,0,CS,2086.5,2086.5,0,0,0,0,0,1950,1950,0,0,0,0,0,,
32409,EMERALD SEA FLAKE (12/2.5LB),W2,LMFOO,071725/01824,EMERALD SEA BRAND (USA),multiple,,,"CS, PLT=63CS",603,CS,15,CS,588,CS,0,CS,0,CS,0,CS,0,CS,19356.3,481.5,18874.8,0,0,0,0,18090,450,17640,0,0,0,0,,
32411,SEAFARER FLAKE 12/2.5LBS,W2,LMFOO,28923E,SEAFARER BRAND (USA),multiple,,,"CS, PLT=70CS",316,CS,316,CS,0,CS,0,CS,0,CS,0,CS,0,CS,10048.8,10048.8,0,0,0,0,0,9480,9480,0,0,0,0,0,,
32412,SEAFARER FLAKE STYLE 20/1LB,W2,LMFOO,6724,SEAFARER BRAND (USA),multiple,,,"CS, PLT=70CS",0,CS,0,CS,0,CS,1158,CS,0,CS,0,CS,0,CS,0,0,0,25476,0,0,0,0,0,0,25476,0,0,0,,
32412,SEAFARER FLAKE STYLE 20/1LB,W2,LMFOO,81225,SEAFARER BRAND (USA),multiple,,,"CS, PLT=70CS",280,CS,280,CS,0,CS,0,CS,0,CS,0,CS,0,CS,6160,6160,0,0,0,0,0,5600,5600,0,0,0,0,0,,
32414,HAKE STYLE CRAB FLAVORED SFD (12/2.5),W2,LMFOO,3124,SEA BEST BRAND (USA),multiple,,,"CS, PLT=63CS",103,CS,103,CS,0,CS,0,CS,0,CS,0,CS,0,CS,3332.05,3332.05,0,0,0,0,0,3090,3090,0,0,0,0,0,,
32415,SEA BEST FLAKE STYLE (20/1LB),W2,LMFOO,3224,SEA BEST BRAND (USA),multiple,,,"CS, PLT=51CS",51,CS,51,CS,0,CS,0,CS,0,CS,0,CS,0,CS,1111.8,1111.8,0,0,0,0,0,1020,1020,0,0,0,0,0,,
32417,FLAKE STYLE IMITN CRAB MEAT (6/5LB),W2,LMFOO,04324E,ISABELLE BRAND (USA),multiple,,,"CS, PLT=65CS",254,CS,114,CS,140,CS,0,CS,0,CS,0,CS,0,CS,8001,3591,4410,0,0,0,0,7620,3420,4200,0,0,0,0,,
32417,FLAKE STYLE IMITN CRAB MEAT (6/5LB),W2,LMFOO,29323,ISABELLE BRAND (USA),multiple,,,"CS, PLT=9CS",9,CS,9,CS,0,CS,0,CS,0,CS,0,CS,0,CS,283.5,283.5,0,0,0,0,0,270,270,0,0,0,0,0,,
62401,SEAFARER COMBO (6/5LB),W2,LMFOO,6624,SEAFARER BRAND (USA),multiple,,,"CS, PLT=60CS",360,CS,360,CS,0,CS,0,CS,0,CS,0,CS,0,CS,11232,11232,0,0,0,0,0,10800,10800,0,0,0,0,0,,
62401,SEAFARER COMBO (6/5LB),W2,LMFOO,35523E,SEAFARER BRAND (USA),multiple,,,"CS, PLT=49CS",29,CS,29,CS,0,CS,0,CS,0,CS,0,CS,0,CS,904.8,904.8,0,0,0,0,0,870,870,0,0,0,0,0,,
62402,FLAKE & OS CHUNK STYLE (6/1.5LB),W2,LMFOO,04524E,SEAFARER BRAND (USA),multiple,,,"CS, PLT=160CS",1084,CS,1084,CS,0,CS,0,CS,0,CS,0,CS,0,CS,12791.2,12791.2,0,0,0,0,0,10840,10840,0,0,0,0,0,,
62402,FLAKE & OS CHUNK STYLE (6/1.5LB),W2,LMFOO,28923E,SEAFARER BRAND (USA),multiple,,,"CS, PLT=180CS",194,CS,194,CS,0,CS,0,CS,0,CS,0,CS,0,CS,2289.2,2289.2,0,0,0,0,0,1940,1940,0,0,0,0,0,,
62403,CRAB FLAV SEAFD /OS CHUNK STYLE (4/2.5LB,W2,LMFOO,04424E,SEAFARER BRAND (USA),multiple,,,"CS, PLT=160CS",824,CS,824,CS,0,CS,0,CS,0,CS,0,CS,0,CS,8693.2,8693.2,0,0,0,0,0,8240,8240,0,0,0,0,0,,
62405,FLAKE & OS CHUNK STYLE (4/2.5LB),W2,LMFOO,23241E,ICYBAY BRAND (USA),multiple,,,"CS, PLT=83CS",83,CS,83,CS,0,CS,0,CS,0,CS,0,CS,0,CS,979.4,979.4,0,0,0,0,0,830,830,0,0,0,0,0,,
62405,FLAKE & OS CHUNK STYLE (4/2.5LB),W2,LMFOO,23319E,ICYBAY BRAND (USA),multiple,,,"CS, PLT=160CS",1065,CS,1065,CS,0,CS,0,CS,0,CS,0,CS,0,CS,12567,12567,0,0,0,0,0,10650,10650,0,0,0,0,0,,
62408,SEAFARER CHUNK 20/1LB,W2,LMFOO,5024,SEAFARER BRAND (USA),multiple,,,"CS, PLT=70CS",210,CS,210,CS,0,CS,0,CS,0,CS,0,CS,0,CS,4830,4830,0,0,0,0,0,4200,4200,0,0,0,0,0,,
62408,SEAFARER CHUNK 20/1LB,W2,LMFOO,30423E,SEAFARER BRAND (USA),multiple,,,"CS, PLT=70CS",218,CS,218,CS,0,CS,0,CS,0,CS,0,CS,0,CS,5014,5014,0,0,0,0,0,4360,4360,0,0,0,0,0,,
62412,CRAB FLAVORED SEAFOOD COMBO (6/5LB),W2,LMFOO,1624,EMERALD SEA'S BRAND (USA),multiple,,,"CS, PLT=63CS",126,CS,126,CS,0,CS,0,CS,0,CS,0,CS,0,CS,4019.4,4019.4,0,0,0,0,0,3780,3780,0,0,0,0,0,,
